48.7880         48,7880
50.7768         50,7768
48.5052         48,5052
50.3642         50,3642
51.0721         51,0721
51.6424         51,6424
49.5099         49,5099
50.3942         50,3942
49.4165         49,4165
48.5741         48,5741
51.9377         51,9377
49.2204         49,2204
50.2103         50,2103
50.4562         50,4562
49.2030         49,2030
49.4730         49,4730
49.4348         49,4348
48.8567         48,8567
50.3799         50,3799
49.1885         49,1885
49.9017         49,9017
49.7069         49,7069
50.5016         50,5016
49.9211         49,9211
49.6699         49,6699
49.9520         49,9520
49.0151         49,0151
48.7265         48,7265
50.3703         50,3703
47.9799         47,9799
48.8845         48,8845
48.8400         48,8400
50.1483         50,1483
49.9961         49,9961
51.1393         51,1393
49.9473         49,9473
48.5339         48,5339
51.1561         51,1561
49.8827         49,8827
49.9332         49,9332
49.9886         49,9886
51.2453         51,2453
50.7355         50,7355
51.8995         51,8995
47.7101         47,7101
48.9480         48,9480
49.1755         49,1755
49.4128         49,4128
49.1416         49,1416
49.4855         49,4855
48.9164         48,9164
49.3658         49,3658
48.6898         48,6898
50.3371         50,3371
48.6794         48,6794
50.4663         50,4663
50.0140         50,0140
49.4526         49,4526
49.0437         49,0437
49.7014         49,7014
49.1676         49,1676
52.1542         52,1542
49.9151         49,9151
48.3183         48,3183
49.3661         49,3661
49.0738         49,0738
49.5286         49,5286
48.6485         48,6485
50.1350         50,1350
50.7665         50,7665
53.1699         53,1699
50.6179         50,6179
48.4929         48,4929
49.4532         49,4532
51.3292         51,3292
50.0235         50,0235
50.6660         50,6660
50.1029         50,1029
48.6979         48,6979
50.1358         50,1358
51.1764         51,1764
49.4746         49,4746
47.7664         47,7664
50.4446         50,4446
51.7307         51,7307
49.7640         49,7640
49.4075         49,4075
47.9499         47,9499
50.3478         50,3478
50.3798         50,3798
50.2397         50,2397
49.9367         49,9367
48.8294         48,8294
51.0949         51,0949
50.0725         50,0725
48.8590         48,8590
50.6511         50,6511
49.9026         49,9026
47.9755         47,9755
50.6852         50,6852
48.8135         48,8135
47.9949         47,9949
50.5012         50,5012
48.8129         48,8129
50.5697         50,5697
49.7515         49,7515
50.1753         50,1753
49.5381         49,5381
50.0100         50,0100
49.6437         49,6437
49.9399         49,9399
51.0745         51,0745
48.7509         48,7509
50.1548         50,1548
48.0819         48,0819
51.1033         51,1033
51.0451         51,0451
49.6165         49,6165
51.0843         51,0843
49.2419         49,2419
50.2762         50,2762
49.6909         49,6909
48.2906         48,2906
51.2298         51,2298
47.8415         47,8415
51.6250         51,6250
49.1536         49,1536
49.0652         49,0652
48.6924         48,6924
50.1878         50,1878
48.4312         48,4312
50.1632         50,1632
50.0260         50,0260
49.8140         49,8140
50.8601         50,8601
49.8905         49,8905
50.0273         50,0273
50.4501         50,4501
48.6066         48,6066
50.8293         50,8293
50.5131         50,5131
51.7294         51,7294
50.6738         50,6738
50.1489         50,1489
51.5950         51,5950
50.6451         50,6451
48.5470         48,5470
48.2474         48,2474
50.3092         50,3092
49.1214         49,1214
50.5260         50,5260
49.1748         49,1748
49.2577         49,2577
50.2764         50,2764
52.0800         52,0800
50.0769         50,0769
49.5649         49,5649
50.6031         50,6031
49.4416         49,4416
50.3564         50,3564
49.3927         49,3927
51.8296         51,8296
49.2266         49,2266
49.2172         49,2172
49.2671         49,2671
49.2847         49,2847
48.2943         48,2943
51.3674         51,3674
51.1792         51,1792
49.6847         49,6847
49.9323         49,9323
49.5190         49,5190
48.5834         48,5834
50.0647         50,0647
48.8059         48,8059
50.8879         50,8879
49.0203         49,0203
50.4843         50,4843
50.9944         50,9944
49.9285         49,9285
50.6307         50,6307
49.2706         49,2706
50.7316         50,7316
49.6289         49,6289
51.5463         51,5463
48.4604         48,4604
49.5716         49,5716
50.3165         50,3165
49.3632         49,3632
50.8859         50,8859
49.8148         49,8148
48.4791         48,4791
49.1030         49,1030
49.1426         49,1426
47.0804         47,0804
51.2702         51,2702
48.4585         48,4585
48.8037         48,8037
49.7573         49,7573
51.0940         51,0940
49.9967         49,9967
50.6815         50,6815
50.9428         50,9428
48.2139         48,2139
48.7909         48,7909
48.8064         48,8064
48.7731         48,7731
50.0168         50,0168
50.3807         50,3807
51.2222         51,2222
48.8180         48,8180
48.4993         48,4993
49.3692         49,3692
48.3537         48,3537
51.0256         51,0256
48.7621         48,7621
50.2556         50,2556
50.7756         50,7756
49.5670         49,5670
49.7874         49,7874
52.1900         52,1900
50.1836         50,1836
